No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
0,125440.0,152679
0,125440.0,140187
0,125440.0,155896
0,125440.0,154528
0,125440.0,62994
0,125440.0,63271
0,125440.0,223557
0,121520.0,74828
0,120960.0,63425
0,120960.0,63425
0,120960.0,63425
0,120960.0,223515
0,120960.0,231571
0,120960.0,229348
0,120960.0,238875
0,120960.0,242928
0,125440.0,241386
0,125440.0,235566
0,125440.0,240358
0,125440.0,239002
0,125440.0,225182
0,125440.0,244909
0,98000.0,240232
0,68600.0,233165
0,120960.0,63428
0,120960.0,63428
0,120960.0,69088
0,120960.0,250461
0,120960.0,248885
0,120960.0,249624
0,120960.0,249669
0,120960.0,251367
0,125440.0,251371
0,125440.0,251608
0,125440.0,251492
0,125440.0,251583
0,125440.0,251543
0,125440.0,251271
0,123480.0,248990
0,125440.0,248165
0,120960.0,63428
0,120960.0,148798
0,120960.0,251027
0,120960.0,251645
0,120960.0,251525
0,120960.0,251488
0,120960.0,251459
0,120960.0,249853
0,21560.0,179758
0,21560.0,173213
0,15680.0,179353
0,11760.0,184017
0,11760.0,176802
0,13720.0,177348
0,13720.0,177623
0,9800.0,171949
0,120960.0,184634
0,99360.0,230878
0,19440.0,188973
0,8640.0,175330
0,8640.0,173472
0,15120.0,168475
0,6480.0,182256
0,15120.0,178268
0,1960.0,66820
0,0.0,63254
0,0.0,62201
0,0.0,62061
0,0.0,61846
0,1960.0,66115
0,1960.0,65413
0,0.0,60796
0,120960.0,251822
0,86400.0,204220
0,2160.0,65578
0,0.0,60985
0,4320.0,67541
0,4320.0,68278
0,0.0,60363
0,2160.0,66590
0,0.0,62134
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60759
0,0.0,61225
0,0.0,60000
0,108000.0,248889
0,34560.0,179289
0,0.0,60990
0,0.0,60000
0,0.0,61802
0,0.0,62585
0,0.0,60000
0,0.0,60086
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,69120.0,201544
0,2160.0,74351
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,59999
0,0.0,60000
0,0.0,59999
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,8640.0,125518
0,0.0,62334
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
0,0.0,60000
