Timestamp(s),HostId,No# Tasks running,cpuUsage(CPU usage of all CPUs of the host in MHz),energyUsage(Power usage of the host in W)
30600,00000000-0000-0000-0000-000000000001,1,1960.0,31482
31200,00000000-0000-0000-0000-000000000000,1,1960.0,31500
31200,00000000-0000-0000-0000-000000000001,1,1960.0,31500
31800,00000000-0000-0000-0000-000000000000,1,1960.0,31500
31800,00000000-0000-0000-0000-000000000001,1,1960.0,31500
32400,00000000-0000-0000-0000-000000000000,1,1960.0,31500
32400,00000000-0000-0000-0000-000000000001,1,1960.0,31498
33000,00000000-0000-0000-0000-000000000000,1,1960.0,31500
33000,00000000-0000-0000-0000-000000000001,1,1960.0,31500
33600,00000000-0000-0000-0000-000000000000,1,1960.0,31500
33600,00000000-0000-0000-0000-000000000001,1,1960.0,31500
34200,00000000-0000-0000-0000-000000000000,1,1960.0,31657
34200,00000000-0000-0000-0000-000000000001,1,1960.0,31497
34800,00000000-0000-0000-0000-000000000000,1,1960.0,31819
34800,00000000-0000-0000-0000-000000000001,1,1960.0,31497
35400,00000000-0000-0000-0000-000000000000,1,1960.0,31484
35400,00000000-0000-0000-0000-000000000001,1,1960.0,31500
36000,00000000-0000-0000-0000-000000000000,1,1960.0,31499
36000,00000000-0000-0000-0000-000000000001,1,1960.0,31500
36600,00000000-0000-0000-0000-000000000000,1,1960.0,31488
36600,00000000-0000-0000-0000-000000000001,0,0.0,31737
37200,00000000-0000-0000-0000-000000000000,1,1960.0,31532
37200,00000000-0000-0000-0000-000000000001,1,1960.0,31481
37800,00000000-0000-0000-0000-000000000000,1,1960.0,31467
37800,00000000-0000-0000-0000-000000000001,1,1960.0,31500
38400,00000000-0000-0000-0000-000000000000,1,1960.0,31500
38400,00000000-0000-0000-0000-000000000001,1,1960.0,31500
39000,00000000-0000-0000-0000-000000000000,1,1960.0,31500
39000,00000000-0000-0000-0000-000000000001,1,1960.0,31492
39600,00000000-0000-0000-0000-000000000000,1,1960.0,31497
39600,00000000-0000-0000-0000-000000000001,1,1960.0,31500
40200,00000000-0000-0000-0000-000000000000,23,45080.0,62046
40200,00000000-0000-0000-0000-000000000001,1,1960.0,31498
40800,00000000-0000-0000-0000-000000000000,23,45080.0,64500
40800,00000000-0000-0000-0000-000000000001,1,1960.0,31500
41400,00000000-0000-0000-0000-000000000000,23,45080.0,64500
41400,00000000-0000-0000-0000-000000000001,1,1960.0,31500
