,Half scale,Double scale,Base scale,Policy
138,60000.0,60000.0,60000.0,Min-Min
139,60000.0,60000.0,60248.0,Min-Min
140,251845.0,60000.0,74827.0,Min-Min
141,87051.0,60000.0,60592.0,Min-Min
142,60000.0,60000.0,60000.0,Min-Min
143,60000.0,60000.0,60000.0,Min-Min
144,251781.0,170247.0,197296.0,Min-Min
145,64568.0,64459.0,143466.0,Min-Min
146,60000.0,60022.0,60834.0,Min-Min
147,60000.0,180602.0,60834.0,Min-Min
148,250085.0,71357.0,60834.0,Min-Min
149,60000.0,73003.0,60834.0,Min-Min
150,60000.0,62887.0,60000.0,Min-Min
151,60000.0,62887.0,60000.0,Min-Min
152,248999.0,60000.0,251764.0,Min-Min
153,60000.0,60000.0,77768.0,Min-Min
154,60000.0,60000.0,73476.0,Min-Min
155,60000.0,60000.0,77685.0,Min-Min
156,250270.0,60000.0,77236.0,Min-Min
157,60000.0,60000.0,62685.0,Min-Min
158,60000.0,60000.0,60000.0,Min-Min
159,60000.0,60000.0,60000.0,Min-Min
160,249246.0,115904.0,251879.0,Min-Min
161,60229.0,151199.0,65819.0,Min-Min
162,60000.0,61389.0,60000.0,Min-Min
163,60000.0,61389.0,60000.0,Min-Min
164,251852.0,61389.0,60000.0,Min-Min
165,60000.0,61667.0,60000.0,Min-Min
166,60000.0,68597.0,60000.0,Min-Min
167,60000.0,68143.0,60000.0,Min-Min
168,251884.0,60000.0,251648.0,Min-Min
169,60000.0,60000.0,130337.0,Min-Min
170,60000.0,60000.0,60000.0,Min-Min
171,60000.0,60000.0,60000.0,Min-Min
172,251777.0,60000.0,60000.0,Min-Min
173,60000.0,60000.0,60000.0,Min-Min
174,60000.0,60000.0,60000.0,Min-Min
175,60000.0,60000.0,60000.0,Min-Min
176,251888.0,251739.0,250752.0,Min-Min
177,60000.0,70748.0,60631.0,Min-Min
178,60000.0,72773.0,60000.0,Min-Min
179,60000.0,74334.0,60000.0,Min-Min
180,251880.0,76354.0,60000.0,Min-Min
181,60000.0,62120.0,60000.0,Min-Min
182,60000.0,60000.0,60000.0,Min-Min
183,60000.0,60000.0,60000.0,Min-Min
184,251798.0,60000.0,249660.0,Min-Min
185,60000.0,60000.0,60000.0,Min-Min
186,60000.0,60000.0,60000.0,Min-Min
187,60000.0,60000.0,60000.0,Min-Min
188,251802.0,60000.0,60000.0,Min-Min
189,60000.0,60000.0,60000.0,Min-Min
190,60000.0,60000.0,60000.0,Min-Min
191,60000.0,60000.0,60000.0,Min-Min
192,251895.0,251390.0,251450.0,Min-Min
193,60000.0,100413.0,60000.0,Min-Min
194,60000.0,70780.0,60000.0,Min-Min
195,60000.0,70423.0,60000.0,Min-Min
196,251826.0,69959.0,60000.0,Min-Min
197,60000.0,72918.0,60000.0,Min-Min
198,60000.0,66058.0,60000.0,Min-Min
199,60000.0,62962.0,60000.0,Min-Min
200,251836.0,60000.0,247963.0,Min-Min
201,60000.0,60000.0,60255.0,Min-Min
202,60000.0,60000.0,60000.0,Min-Min
203,60000.0,60000.0,60000.0,Min-Min
204,251830.0,60000.0,60000.0,Min-Min
205,60000.0,60000.0,60000.0,Min-Min
206,60000.0,60000.0,60000.0,Min-Min
207,60000.0,60000.0,60000.0,Min-Min
208,251763.0,251880.0,251934.0,Min-Min
209,60000.0,137920.0,60000.0,Min-Min
210,60000.0,60000.0,60000.0,Min-Min
211,60000.0,60000.0,60000.0,Min-Min
212,251878.0,60000.0,60000.0,Min-Min
213,60000.0,60000.0,60000.0,Min-Min
214,60000.0,67125.0,60000.0,Min-Min
215,60000.0,67369.0,60000.0,Min-Min
216,251870.0,60000.0,251877.0,Min-Min
217,60000.0,60000.0,60000.0,Min-Min
218,60000.0,60000.0,60000.0,Min-Min
219,60000.0,60000.0,60000.0,Min-Min
220,251865.0,60000.0,60000.0,Min-Min
221,60000.0,60000.0,60000.0,Min-Min
