HostNo,maxCapacity(MHz)
00000000-0000-0000-0000-000000000002,156800.0
00000000-0000-0000-0000-000000000008,156800.0
00000000-0000-0000-0000-000000000009,156800.0
00000000-0000-0000-0000-000000000001,156800.0
00000000-0000-0000-0000-000000000004,156800.0
00000000-0000-0000-0000-000000000000,156800.0
00000000-0000-0000-0000-000000000003,156800.0
00000000-0000-0000-0000-000000000006,156800.0
00000000-0000-0000-0000-000000000005,156800.0
00000000-0000-0000-0000-000000000007,156800.0
