Makespan (s),Workflow Response time (s)
46,47.0
40,40.0
40,40.0
42,42.0
50,50.0
42,42.0
42,42.0
42,42.0
44,44.0
40,40.0
42,42.0
44,44.0
42,42.0
40,40.0
40,40.0
40,40.0
40,40.0
40,41.0
42,42.0
40,40.0
42,42.0
40,40.0
44,44.0
44,44.0
44,44.0
40,40.0
40,40.0
40,40.0
42,42.0
42,42.0
42,42.0
42,42.0
50,51.0
40,40.0
40,40.0
44,44.0
42,42.0
42,42.0
42,42.0
40,40.0
52,52.0
40,40.0
40,40.0
42,42.0
42,42.0
44,44.0
42,42.0
40,40.0
44,44.0
40,40.0
