HostNo,maxCapacity(MHz)
00000000-0000-0000-0000-000000000000,156800.0
00000000-0000-0000-0000-000000000001,156800.0
00000000-0000-0000-0000-000000000002,156800.0
00000000-0000-0000-0000-000000000003,156800.0
